batter,name,apr_PA,apr_BABIP,apr_hard_hit_rate,apr_barrel_rate,apr_z_contact_rate,apr_hr_fb_rate,apr_BA,apr_wOBA,apr_HR_rate,apr_xBA,apr_xwOBA,luck_score,verdict,mj_PA,mj_BABIP,mj_BA,mj_wOBA,mj_HR_rate,year,delta_BABIP,delta_BA,delta_wOBA,delta_HR_rate,xwOBA_gap,xBA_gap
595777,Jurickson Profar,111,0.2571,0.189873417721519,0.0410958904109589,0.8625,0.125,0.2188,0.29144144144144146,0.027,0.34212676056338026,0.35603697306328885,0.2091,Buy low,298,0.2905,0.2481,0.32281879194630875,0.0134,2023,0.0333,0.0293,0.0314,-0.0136,0.0646,0.1234
595879,Javier Báez,99,0.2958,0.22727272727272727,0.0,0.8318,0.0,0.2333,0.2924242424242424,0.0,0.2859714285714286,0.2578249158249158,0.0209,Neutral,318,0.2679,0.2226,0.28034591194968556,0.022,2023,-0.0279,-0.0107,-0.0121,0.022,-0.0346,0.0526
596019,Francisco Lindor,117,0.2647,0.24324324324324326,0.08333333333333333,0.805,0.1739,0.2178,0.3294871794871795,0.0342,0.30915492957746477,0.3442084795991046,0.1725,Buy low,335,0.2535,0.2423,0.3426865671641791,0.0507,2023,-0.0112,0.0245,0.0132,0.0166,0.0147,0.0913
596129,Dan Vogelbach,60,0.3636,0.2857142857142857,0.08823529411764706,0.8333,0.125,0.2708,0.365,0.0167,0.3075588235294118,0.34689370748299314,-0.3193,Sell high,165,0.25,0.2095,0.29848484848484846,0.0364,2023,-0.1136,-0.0614,-0.0665,0.0197,-0.0181,0.0367
596146,Max Kepler,72,0.2609,0.25510204081632654,0.12244897959183673,0.8854,0.2143,0.2419,0.3402777777777778,0.0417,0.3281489361702128,0.38463739316239315,0.1907,Buy low,219,0.2411,0.2289,0.3230593607305936,0.0548,2023,-0.0197,-0.0131,-0.0172,0.0131,0.0444,0.0862
600869,Jeimer Candelario,120,0.2651,0.23863636363636365,0.05747126436781609,0.8623,0.129,0.2385,0.3091666666666667,0.0333,0.2976,0.3152813218390805,0.1711,Buy low,299,0.3115,0.2654,0.3879598662207358,0.0401,2023,0.0464,0.0269,0.0788,0.0068,0.0061,0.0591
602104,Ramón Urías,84,0.3725,0.2268041237113402,0.07692307692307693,0.8421,0.0769,0.274,0.3738095238095238,0.0119,0.34238461538461534,0.33559806525520813,-0.3638,Sell high,186,0.3197,0.2442,0.2991935483870968,0.0161,2023,-0.0529,-0.0298,-0.0746,0.0042,-0.0382,0.0684
605119,Brian Anderson,112,0.3279,0.17518248175182483,0.15384615384615385,0.7911,0.3125,0.2551,0.340625,0.0446,0.35958730158730157,0.3500965984247234,-0.1483,Sell high,222,0.3016,0.2165,0.2990990990990991,0.018,2023,-0.0263,-0.0386,-0.0415,-0.0266,0.0095,0.1045
605137,Josh Bell,118,0.2432,0.23648648648648649,0.09333333333333334,0.8414,0.1765,0.2039,0.3088983050847458,0.0254,0.2971351351351351,0.3155586995901231,0.2795,Buy low,275,0.2842,0.2449,0.3181818181818182,0.0291,2023,0.0409,0.041,0.0093,0.0037,0.0067,0.0933
605141,Mookie Betts,120,0.274,0.26865671641791045,0.07792207792207792,0.9071,0.1905,0.2353,0.3525,0.0333,0.30246753246753244,0.36324027289962774,0.125,Buy low,340,0.2752,0.2892,0.425,0.0676,2023,0.0013,0.0539,0.0725,0.0343,0.0107,0.0672
