batter_id,name,type,age,signal,spotrac_url,snapshot_date,contract_years,contract_total_m,annual_salary_m,guaranteed_m,contract_end_year,years_remaining,raw_text
125,Francisco Lindor,Hitter,33,Slight buy,https://www.spotrac.com/mlb/new-york-mets/francisco-lindor-14113/,20240302,10,341.0,34.1,,2033,7,"Francisco Lindor signed a 10 year / $341,000,000 contract with the New York Mets, including a $21,000,000 signing bonus, $341,000,000 guaranteed, and "
126,Logan Webb,Pitcher,30,Slight buy,https://www.spotrac.com/mlb/san-francisco-giants/logan-webb-28182/,20231202,5,90.0,18.0,90.0,2027,1,"Logan Webb signed a 5 year / $90,000,000 contract with the San Francisco Giants, including $90,000,000 guaranteed, and an annual average salary of $18"
129,Aaron Nola,Pitcher,33,Slight buy,https://www.spotrac.com/mlb/philadelphia-phillies/aaron-nola-17684/,20240402,7,172.0,24.57,172.0,2030,4,"Aaron Nola signed a 7 year / $172,000,000 contract with the Philadelphia Phillies, including $172,000,000 guaranteed, and an annual average salary of "
130,Bailey Ober,Pitcher,31,Slight buy,https://www.spotrac.com/mlb/minnesota-twins/bailey-ober-23565/,20230829,1,0.72,0.72,0.72,2023,0,"Bailey Ober signed a 1 year / $720,000 contract with the Minnesota Twins, including $720,000 guaranteed, and an annual average salary of $720,000."
134,Austin Martin,Hitter,27,Slight sell,https://www.spotrac.com/mlb/minnesota-twins/austin-martin-48359/,20240402,1,0.74,0.74,0.74,2024,0,"Austin Martin signed a 1 year / $740,000 contract with the Minnesota Twins, including $740,000 guaranteed, and an annual average salary of $740,000. I"
138,Ernie Clement,Hitter,30,Slight sell,https://www.spotrac.com/mlb/toronto-blue-jays/ernie-clement-23343/,20230829,1,0.72,0.72,0.72,2023,0,"Ernie Clement signed a 1 year / $720,000 contract with the Toronto Blue Jays, including $720,000 guaranteed, and an annual average salary of $720,000."
142,Yandy Díaz,Hitter,35,Slight sell,https://www.spotrac.com/mlb/tampa-bay-rays/yandy-diaz-21687/,20230731,3,24.0,8.0,24.0,2025,0,"Yandy Diaz signed a 3 year / $24,000,000 contract with the Tampa Bay Rays, including $24,000,000 guaranteed, and an annual average salary of $8,000,00"
144,Nick Gonzales,Hitter,27,Slight sell,https://www.spotrac.com/mlb/pittsburgh-pirates/nick-gonzales-48362/,20230804,1,0.72,0.72,0.72,2023,0,"Nick Gonzales signed a 1 year / $720,000 contract with the Pittsburgh Pirates, including $720,000 guaranteed, and an annual average salary of $720,000"
149,Christian Yelich,Hitter,35,Slight sell,https://www.spotrac.com/mlb/milwaukee-brewers/christian-yelich-14316/,20240301,7,188.5,26.93,188.5,2030,4,"Christian Yelich signed a 7 year / $188,500,000 contract with the Milwaukee Brewers, including $188,500,000 guaranteed, and an annual average salary o"
157,Gavin Williams,Pitcher,27,Slight sell,https://www.spotrac.com/mlb/cleveland-guardians/gavin-williams-73285/,20230622,1,0.72,0.72,0.72,2023,0,"Gavin Williams signed a 1 year / $720,000 contract with the Cleveland Guardians, including $720,000 guaranteed, and an annual average salary of $720,0"
159,Jung hoo Lee,Hitter,28,Slight sell,https://www.spotrac.com/mlb/san-francisco-giants/jung-hoo-lee-82037/,20231224,6,113.0,18.83,,2028,2,"Jung-hoo Lee signed a 6 year / $113,000,000 contract with the San Francisco Giants, including a $5,000,000 signing bonus, $113,000,000 guaranteed, and"
168,Antonio Senzatela,Pitcher,31,Slight sell,https://www.spotrac.com/mlb/colorado-rockies/antonio-senzatela-18376/,20230130,5,50.5,10.1,50.5,2027,1,"Antonio Senzatela signed a 5 year / $50,500,000 contract with the Colorado Rockies, including $50,500,000 guaranteed, and an annual average salary of "
